ID,REGION_PARENT,REGION_CHILD,NX,NY
171,충청남도,당진시,54,112
172,충청남도,금산군,69,95
173,충청남도,부여군,59,99
174,충청남도,서천군,55,94
175,충청남도,청양군,57,103
176,충청남도,홍성군,55,106
177,충청남도,예산군,58,107
178,충청남도,태안군,48,109
179,전라북도,,63,89
180,전라북도,전주시완산구,63,89
181,전라북도,전주시덕진구,63,89
182,전라북도,군산시,56,92
183,전라북도,익산시,60,91
184,전라북도,정읍시,58,83
185,전라북도,남원시,68,80
186,전라북도,김제시,59,88
187,전라북도,완주군,63,89
188,전라북도,진안군,68,88
189,전라북도,무주군,72,93
190,전라북도,장수군,70,85
191,전라북도,임실군,66,84
192,전라북도,순창군,63,79
193,전라북도,고창군,56,80
194,전라북도,부안군,56,87
195,전라남도,,51,67
196,전라남도,목포시,50,67
197,전라남도,여수시,73,66
198,전라남도,순천시,70,70
199,전라남도,나주시,56,71
200,전라남도,광양시,73,70
201,전라남도,담양군,61,78
202,전라남도,곡성군,66,77
203,전라남도,구례군,69,75
204,전라남도,고흥군,66,62
205,전라남도,보성군,62,66
206,전라남도,화순군,61,72
207,전라남도,장흥군,59,64
208,전라남도,강진군,57,63
209,전라남도,해남군,54,61
210,전라남도,영암군,56,66
211,전라남도,무안군,52,71
212,전라남도,함평군,52,72
213,전라남도,영광군,52,77
214,전라남도,장성군,57,77
215,전라남도,완도군,57,56
216,전라남도,진도군,48,59
217,전라남도,신안군,50,66
218,경상북도,,89,91
219,경상북도,포항시남구,102,94
220,경상북도,포항시북구,102,95
221,경상북도,경주시,100,91
222,경상북도,김천시,80,96
223,경상북도,안동시,91,106
224,경상북도,구미시,84,96
225,경상북도,영주시,89,111
226,경상북도,영천시,95,93
227,경상북도,상주시,81,102
228,경상북도,문경시,81,106
229,경상북도,경산시,91,90
230,경상북도,의성군,90,101
231,경상북도,청송군,96,103
232,경상북도,영양군,97,108
233,경상북도,영덕군,102,103
234,경상북도,청도군,91,86
235,경상북도,고령군,83,87
236,경상북도,성주군,83,91
237,경상북도,칠곡군,85,93
238,경상북도,예천군,86,107
239,경상북도,봉화군,90,113
240,경상북도,울진군,102,115
241,경상북도,울릉군,127,127
242,경상남도,,91,77
243,경상남도,창원시의창구,90,77
244,경상남도,창원시성산구,91,76
245,경상남도,창원시마산합포구,89,76
246,경상남도,창원시마산회원구,89,76
247,경상남도,창원시진해구,91,75
248,경상남도,진주시,81,75
249,경상남도,통영시,87,68
250,경상남도,사천시,80,71
251,경상남도,김해시,95,77
252,경상남도,밀양시,92,83
253,경상남도,거제시,90,69
254,경상남도,양산시,97,79
255,경상남도,의령군,83,78
256,경상남도,함안군,86,77
257,경상남도,창녕군,87,83
258,경상남도,고성군,85,71
259,경상남도,남해군,77,68
260,경상남도,하동군,74,73
261,경상남도,산청군,76,80
262,경상남도,함양군,74,82
263,경상남도,거창군,77,86
264,경상남도,합천군,81,84
265,제주특별자치도,,52,38
266,제주특별자치도,제주시,53,38
267,제주특별자치도,서귀포시,52,33
268,이어도,,28,8
